subject_id,subject_name,subject_program,subject_semester,year_count,years_offered,subject_codes
63265,Prevajalniki,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","3_BUN-RI_P(63265), 63265_PAD"
63266,Inteligentni sistemi,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BMA-DJ_IS(63266), 3_BUN-RI_IS(63266), 3_BUN-RM_IS(63266)"
63267,Umetno zaznavanje,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","3_BUN-ML_UZ(63267), 3_BUN-RI_UZ(63267), 3_BUN-RM_UZ(63267)"
63268,Razvoj inteligentnih sistemov,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_RIS(63268), 3_BUN-RI_RIS(63268), 63268_PAD"
63269,Računalniška grafika in tehnologija iger,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","3_BUN-ML, 3_BUN-RI_RGTI(63269), 3_BUN-RM_RGTI(63269), 3_BUN-UI_RGTI(63269)"
63270,Multimedijski sistemi,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","3_BUN-ML, 3_BUN-RI_MS(63270), 3_BUN-RM_MS(63270), 3_BUN-UI_MS(63270)"
63271,Osnove oblikovanja,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BUN-ML, 3_BUN-RI_OO(63271), 63271_PAD"
63277,Programiranje 1,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BUN-RI, 1_BUN-RM"
63278,Programiranje 2,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BUN-RI, 1_BUN-RM, 2_BVS-RI_P2(63278), 63278_PAD"
63279,Algoritmi in podatkovne strukture 1,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BUN-RI, 2_BUN-RM"
63280,Algoritmi in podatkovne strukture 2,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BUN-RI, 2_BUN-RM, 63280_PAD"
63281,Diplomski seminar,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","3_BUN-RI, 63281_PAD"
63283,Izračunljivost in računska zahtevnost,UNI,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BUN-RI, 2_BUN-RM, 63283_PAD"
63284,Tehnične veščine,UNI,1,1,['19/20'],
63284C,Tehnične veščine,UNI,2,1,['19/20'],
63284D,Tehnične veščine,UNI,1,2,"['20/21', '21/22']","2_BUN-RI_(63284D), 3_BUN-RI_(63284D), 3_BUN-RM_(63284D), 63284D_PAD"
63286,Informacijsko-komunikacijske tehnologije in družba,UNI,1,3,"['21/22', '22/23', '23/24']","2_BUN-ML_AV_01, 2_BUN-ML_AV_02, 2_BUN-ML_AV_03"
63287,Programiranje specifičnih platform,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BUN-ML_PSP(63287), 3_BUN-ML_PSP(63287), 3_BUN-RI_PSP(63287), 3_BUN-RM_PSP(63287), 63287_PAD"
63288,Multimedijske vsebine,UNI,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BUN-ML, 63288_PAD"
63289,Varnost komunikacij in zaščita vsebin,UNI,1,5,"['20/21', '21/22', '22/23', '23/24', '24/25']",3_BUN-ML
63701,Uvod v računalništvo,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",1_BVS-RI
63702,Programiranje 1,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BMA-KO_P(63502), 1_BVS-RI"
63702DJ,Programiranje I,VSS,1,2,"['22/23', '23/24']",
63702I,Programiranje 1,VSS,1,1,['24/25'],"1_BMA-DJ, 1_BUN-ML, 1_BUN-UI"
63703,Računalniška arhitektura,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",1_BVS-RI
63704,Matematika,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BVS-RI, 2_BUN-UI_M(63704)"
63705,Diskretne strukture,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BVS-RI, 2_BUN-UI_DS(63705)"
63706,Programiranje 2,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BMA-DJ_P2(63706), 1_BUN-ML, 1_BVS-RI, 1_BUN-UI, 63706_PAD"
63707,Podatkovne baze,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BVS-RI, 1_BUN-UI, 63707_PAD"
63708,Računalniške komunikacije,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BVS-RI, 63708_PAD"
63709,Operacijski sistemi,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BVS-RI, 2_BUN-UI_OS(63709), 63709_PAD"
63710,Osnove verjetnosti in statistike,VSS,2,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","1_BVS-RI, 1_BUN-UI, 63710_PAD"
63711,Algoritmi in podatkovne strukture 1,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']",2_BVS-RI
63712,Elektronsko in mobilno poslovanje,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_EMP(63712), 3_BVS-RI_EMP(63712)"
63713,Podatkovne baze 2,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_PB2(63713), 3_BVS-RI_PB2(63713)"
63714,Informacijski sistemi,VSS,1,6,"['19/20', '20/21', '21/22', '22/23', '23/24', '24/25']","2_BVS-RI_IS(63714), 3_BVS-RI_IS(63714)"
